Area_Name,IMDmin,IMDmax,IMDmean,IMDmedian
 Liverpool BUASD,1,5,1.7394957983193278,1.0
 Crosby BUASD,1,5,2.6857142857142855,3.0
 Bootle BUASD,1,4,1.2820512820512822,1.0
 Birkenhead BUASD,1,5,2.076923076923077,1.0
 Hoylake BUASD,2,5,3.857142857142857,4.0
 West Kirby BUASD,1,5,3.9,4.0
 Wallasey BUASD,1,4,1.875,2.0
 Whitley Bay BUASD,1,5,4.166666666666667,5.0
 Tynemouth BUASD,1,5,2.772727272727273,2.0
 South Shields BUASD,1,5,1.9615384615384615,2.0
 Sunderland BUASD,1,5,2.086206896551724,2.0
 Whitburn BUASD,3,3,3.0,3.0
 Hartlepool BUASD,1,5,2.142857142857143,1.0
 Redcar BUASD,1,5,2.32,2.0
 Blackpool BUASD,1,4,1.6082474226804124,1.0
 Kingston upon Hull BUASD,1,5,2.0806451612903225,2.0
 Bridlington BUASD,1,4,2.0434782608695654,2.0
 Grimsby BUASD,1,5,2.1551724137931036,2.0
 Cleethorpes BUASD,1,5,2.3703703703703702,2.0
 Hessle BUASD,3,5,3.8,4.0
 Immingham BUASD,1,4,2.2857142857142856,2.0
 Weston-Super-Mare BUASD,1,5,2.793103448275862,3.0
 Plymouth BUASD,1,5,2.3945578231292517,2.0
 Paignton BUASD,1,5,2.727272727272727,3.0
 Torquay BUASD,1,4,1.84375,2.0
 Plymstock BUASD,2,5,3.875,4.0
 Poole BUASD,1,5,3.5918367346938775,4.0
 Bournemouth BUASD,1,5,2.8672566371681416,3.0
 Southend-on-Sea BUASD,1,5,3.0186915887850465,3.0
 Brighton and Hove BUASD,1,5,3.0,3.0
 Portsmouth BUASD,1,5,2.574324324324324,2.0
 Southampton BUASD,1,5,2.4276729559748427,2.0
 Portslade-by-Sea BUASD,1,4,2.6923076923076925,3.0
 Saltdean BUASD,4,5,4.25,4.0
 Ryde BUASD,1,4,2.066666666666667,2.0
 Cowes BUASD,2,5,3.4444444444444446,3.0
 Shanklin BUASD,1,3,2.3333333333333335,2.5
 East Cowes BUASD,1,3,2.0,2.0
 Sandown BUASD,2,4,2.375,2.0
 Falmouth BUASD,1,4,3.1333333333333333,3.0
 Penryn BUASD,1,4,2.8,3.0
 Bude BUASD,2,3,2.6666666666666665,3.0
 Whitehaven BUASD,1,5,2.5,2.0
 St Austell BUASD,1,5,2.6,2.0
 St Blazey BUASD,1,4,2.3333333333333335,2.0
 Penzance BUASD,1,3,1.6,1.5
 Workington BUASD,1,4,1.9285714285714286,1.0
 Seaton BUASD,3,5,4.0,4.0
 North Walney BUASD,1,4,2.6666666666666665,3.0
 Dartmouth BUASD,2,5,3.5,3.5
 Christchurch BUASD,1,5,4.0588235294117645,4.0
 Teignmouth BUASD,1,5,3.2222222222222223,4.0
 Northam BUASD,2,4,2.6666666666666665,2.5
 Bideford BUASD,1,4,2.5,2.5
 Weymouth BUASD,1,5,2.71875,2.0
 Weston BUASD,2,3,2.6666666666666665,3.0
 Eastbourne BUASD,1,5,2.8507462686567164,3.0
 Peterlee BUASD,1,5,1.380952380952381,1.0
 Hastings BUASD,1,4,1.9433962264150944,2.0
 Bexhill BUASD,1,5,2.857142857142857,3.0
 Walton-on-the-Naze BUASD,1,4,2.142857142857143,2.0
 Harwich BUASD,1,4,2.076923076923077,2.0
 Gosport BUASD,1,5,2.869565217391304,3.0
 Lymington BUASD,2,5,4.0,4.5
 Whitstable BUASD,1,5,3.761904761904762,4.0
 Herne Bay BUASD,1,5,2.869565217391304,3.0
 Folkestone BUASD,1,4,2.21875,2.0
 Hythe BUASD,1,5,3.2,3.0
 Minster (Swale) BUASD,1,3,2.4615384615384617,3.0
 Broadstairs BUASD,1,5,3.375,4.0
 Margate BUASD,1,4,2.0526315789473686,2.0
 Ramsgate BUASD,1,4,1.72,1.0
" Lytham St Anne""s BUASD",1,5,3.413793103448276,4.0
 Morecambe BUASD,1,5,2.130434782608696,2.0
 Heysham BUASD,1,3,2.0,2.0
 Cleveleys BUASD,1,4,2.5555555555555554,2.0
 Great Yarmouth BUASD,1,5,1.875,1.0
 Gorleston-on-Sea BUASD,1,3,1.8,2.0
 Hunstanton BUASD,1,3,2.3333333333333335,2.5
 Sheringham BUASD,3,4,3.25,3.0
 Cromer BUASD,1,4,2.3333333333333335,2.0
 Burnham-on-Sea BUASD,1,5,2.6153846153846154,2.0
 Leiston BUASD,2,3,2.6666666666666665,3.0
 Felixstowe BUASD,1,5,3.1333333333333333,3.0
 East Wittering BUASD,2,4,3.25,3.5
 Shoreham-by-Sea BUASD,1,5,3.2941176470588234,3.0
 Southwick BUASD,2,4,3.0,3.0
 Littlehampton BUASD,1,5,3.088235294117647,3.0
 Worthing BUASD,1,5,3.411764705882353,3.0
 Southport BUA,1,5,2.8360655737704916,3.0
 Formby BUA,3,5,4.470588235294118,5.0
 Marske-by-the-Sea BUA,2,4,3.2,4.0
 Saltburn-by-the-Sea BUA,1,5,2.75,2.5
 Hornsea BUA,2,4,2.4,2.0
 Withernsea BUA,1,2,1.25,1.0
 Barton-upon-Humber BUA,1,4,2.5,2.0
 Clevedon BUA,3,5,4.214285714285714,4.0
 Portishead BUA,3,5,4.5625,5.0
 Brixham BUA,1,4,2.3333333333333335,2.0
 Freshwater BUA,2,4,2.6,2.0
 Ventnor BUA,1,3,1.75,1.5
 Saltash BUA,2,5,3.272727272727273,3.0
 Torpoint BUA,1,4,2.8,3.0
 Looe BUA,1,4,2.25,2.0
 Barrow-in-Furness BUA,1,5,2.1470588235294117,1.0
 Newquay BUA,1,4,2.5833333333333335,3.0
 Maryport BUA,1,3,1.6666666666666667,1.5
